year,month,day,hour,minute,second,max_vert_acc,source_file
2024.0,11.0,28.0,12.0,14.0,26.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207724_OY-GRH_28_11_24_16_12.csv
2024.0,11.0,28.0,11.0,42.0,45.0,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207725_OY-GRP_28_11_24_43_11.csv
2024.0,11.0,28.0,14.0,39.0,34.0,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207731_OY-GRG_28_11_24_41_14.csv
2024.0,11.0,28.0,15.0,29.0,4.0,0.17999999999999994,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207732_OY-GRK_28_11_24_31_15.csv
2024.0,11.0,28.0,15.0,54.0,4.0,0.17000000000000004,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207734_OY-GRH_28_11_24_56_15.csv
2024.0,11.0,28.0,16.0,58.0,30.0,0.19999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207739_OY-GRO_28_11_24_00_17.csv
2024.0,11.0,28.0,15.0,51.0,38.0,0.16000000000000003,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207740_OY-GRP_28_11_24_52_15.csv
2024.0,11.0,28.0,20.0,0.0,5.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207762_OY-GRH_28_11_24_02_20.csv
2024.0,11.0,28.0,20.0,41.0,39.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207763_OY-GRG_28_11_24_43_20.csv
2024.0,11.0,28.0,21.0,9.0,2.0,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207764_OY-GRP_28_11_24_11_21.csv
